Name,Logo,Teaser,Sector,Company Stage,Business Model,Customer Focus,Founding Year,Team Size,Handelsregister,Headquarter,Official Website,On Social Media,Legal Entity,About,Members
soap & precede,https://cdn.startbase.com/images/company/heimathaufen-gmbh/b9375393f9/?w=205&h=64,"Development, production and distribution of sustainable ""powder-to-liquid"" shower gel and shampoo.",Nutrition & Consumables,Growth Stage,Manufacturing,B2C,2018,1-10 Employees,Found,"Hamburg, DE",heimathaufen.de,"['https://www.instagram.com/soapandprecede/', 'https://twitter.com/soapandprecede', 'https://www.facebook.com/soapandprecede']",HEIMATHAUFEN GmbH,"For everybody, who cares about living a sustainable life and wants their bathroom to be zero waste, our all in. WASH. is a personal care product, that's enabling exact that - by being environmentally friendly and low-packaging like a solid bar of soap and yet the liquid product customers love and prefer to use. Unlike traditional liquid products like shower gel or shampoo, the all in. WASH. saves up to 90% of CO2 emissions and 95% of plastic packaging during its life cycle - all due to our ""powder-to-liquid"" formula.","{'Oliver Schumacher': 'Co-Founder', 'Boris Schumacher': 'Co-Founder'}"
creditshelf,https://cdn.startbase.com/images/1a561f36f4828663fd24c3d68a01a1fc/a3bb60ff8cc60d4/?w=205&h=64,Creditshelf - we redesign SME financing!,Finance & Insurance,Growth Stage,Other,B2B,2014,11-50 Employees,Found,"Frankfurt, DE",creditshelf.com,"['https://twitter.com/creditshelf', 'https://www.linkedin.com/company/creditshelf-ag', 'https://www.xing.com/xbp/pages/creditshelf-ag', 'https://www.youtube.com/channel/UC-ZnVjRry9ODsBmu4cZKQbg?view_as=subscriber', 'https://www.facebook.com/creditshelf/']",creditshelf AG,"creditshelf ist der Finanzierungspartner für mittelständische Unternehmer, die Innovationen vorantreiben und Unternehmen weiterentwickeln wollen.",{'Birgit Hass': ''}
Swarm Logistics,https://cdn.startbase.com/images/company/swarm-logistics/41d65cadee/?w=205&h=64,"Swarm Logistics GmbH is a Deep-Tech software technology company specializing in the development of intelligent, autonomous transportation systems.",Industrial & Basic Materials,Startup Stage,SaaS,B2B,2018,n/a,Found,"Stuttgart, DE",swarmlogistics.net,"['https://twitter.com/swarmlogistics', 'https://www.linkedin.com/company/swarm-logistics', 'https://www.youtube.com/channel/UCPmlKyFXbuNdSfQTjBy8-qw', 'https://www.facebook.com/SwarmLogistics']",Swarm Logistics GmbH,"Swarm Logistics is a Deep-Tech software technology company specializing in the development of intelligent, autonomous transportation systems.",{'Damir Dulovic': ''}
Mädchenflohmarkt,https://cdn.startbase.com/images/company/m-dchenflohmarkt/fc5b1991ae/?w=205&h=64,"Mädchenflohmarkt develops an online market for the best ""used"" pieces for second hand sale.",Textiles,Growth Stage,Platform,B2C,2012,101-250 Employees,Found,"Stuttgart, DE",maedchenflohmarkt.de,"['https://www.instagram.com/maedchenflohmarkt/', 'https://twitter.com/Mdchenflohmarkt', 'https://www.linkedin.com/company/m%C3%A4dchenflohmarkt/', 'https://www.xing.com/companies/m%C3%A4dchenflohmarktgmbh', 'https://www.youtube.com/user/MaedchenflohmarktDE', 'https://www.facebook.com/maedchenflohmarkt.de']",Mädchenflohmarkt GmbH,"Mädchenflohmarkt ist der Marktplatz für hochwertige Second Hand Designermode und Vintage-Fashion. Über eine eine Millionen Mitglieder kaufen und verkaufen seit Mitte 2012 Kleidung, Schuhe, Taschen und Accessoires von klassischen Designern bis zu den angesagtesten Trendmarken. So finden sich täglich Tausende neue Artikel von Louis Vuitton, Prada, Gucci, Chanel über Romwe, Asos, Primark, Amisu bis hin zu H&M, Zara und vielen mehr. Die Verkäuferinnen haben so die Möglichkeit, ihre Kleiderschränke zu leeren, Platz für neue Kleidung zu schaffen und Geld zu verdienen für neue Mode. Unter den Verkäufern finden sich von bekannten Mode-Bloggerinnen über Stars aus den Medien bis hin zur begeisterten Fashionista die gesamte Bandbreite an Mode Liebhaberinnen. Käufern bietet sich durch die Vielfalt des Marktplatzes ein Paradies zum günstigen Einkaufen von Designermode und Trendmarken, von Klassikern bis hin zur aktuellen Kollektion.",{'Peter Ambrozy': ''}
ViveLaCar,https://cdn.startbase.com/images/970698203834f2017675ab5bb46125a1/f487d99de59d45e/?w=205&h=64,Mobility platform that allows drivers to conveniently rent cars within an all-inclusive subscription model.,"Automotive, Logistics & Mobility",Startup Stage,Platform,B2B2C,2019,11-50 Employees,Found,"Stuttgart, DE",vivelacar.com,"['https://www.instagram.com/vivelacar_autoabo/', 'https://www.linkedin.com/company/vive-la-car-gmbh/', 'https://www.xing.com/companies/vivelacargmbh', 'https://www.youtube.com/channel/UC7b0B-6rHM8LfkrKWpTqrIQ', 'https://www.facebook.com/vivelacar/']",ViveLaCar GmbH,"The ViveLaCar car subscription closes the gap between leasing and short term rental. Without a fixed duration and with only a three months notice period, you are able to terminate the ViveLaCar subscription at any time. In addition, maximum flexibility is offered in terms of the mileage package: adjust your mileage package monthly free of charge to your actual needs and thereby control the subscription rate - if you drive less, you pay less. ViveLaCar's flexible subscription includes a completely paperless process, as well as a monthly all-inclusive rate that includes all costs except fuel.","{'Florine von Caprivi': 'CRO', 'Mathias Albert': 'Founder'}"
Recup,https://cdn.startbase.com/images/company/recup/477b3bc478/?w=205&h=64,Brands of reCup GmbH. Innovative and sustainable returnable deposit system for Coffee-To-Go cups and Take-away bowls.,Nutrition & Consumables,Startup Stage,Sale of Services,B2B,2016,11-50 Employees,Found,"München, DE",recup.de,"['https://twitter.com/recup2go', 'https://www.linkedin.com/company/recupgmbh/', 'https://www.xing.com/companies/recupgmbh', 'https://www.youtube.com/channel/UCbQnazYLvjGKzUhueK0LWoQ', 'https://www.facebook.com/recup2go/']",Recup GmbH,"Pro Stunde werden in Deutschland ca. 320.000 Einwegbecher für Coffee-to-go verbraucht. Die Müllberge, die dabei entstehen sind immens. Und genau denen hat RECUP den Kampf angesagt. Mit ihrem deutschlandweitem Pfandsystem für Coffee-to-go Becher haben sie sich zum Ziel gesetzt den Coffee-to-go Markt zu revolutionieren. Und das mit Erfolg.","{'Stefanie Ullrich': '', 'Florian Pachaly': 'Founder', 'Fabian Eckert': 'Founder'}"
ParkHere,https://cdn.startbase.com/images/55e1d72d8041e8b6b749fa0d79eceb70/cde31ae5f361f1b/?w=205&h=64,Smart High-Tech Solutions for Digital Parking Management,"Automotive, Logistics & Mobility",Startup Stage,SaaS,B2B,2015,11-50 Employees,Found,"München, DE",park-here.eu,"['https://twitter.com/ParkHere_muc', 'https://www.linkedin.com/company/parkhere', 'https://www.xing.com/companies/parkhere', 'https://www.facebook.com/ParkHereMakesParkingEasy']",ParkHere GmbH,"Die Städte wachsen, und die daraus resultierenden Verkehrsprobleme nehmen zu. In Deutschland pendeln täglich über 8 Millionen Menschen mit dem Auto zur Arbeit. Tatsächlich sind die Unternehmen die größten Eigentümer von Parkplätzen im Land. Sie besitzen 12-mal so viele Parkplätze wie die drei größten kommerziellen Parkraumanbieter zusammen! Diese Unternehmen benötigen professionelle und innovative Lösungen, um die Parkraumbewirtschaftung umzusetzen und die Herausforderungen der Mobilitätswende zu meistern. Und diese Lösung bietet ParkHere.",{'Felix Bopf': ''}
Blinkist,https://cdn.startbase.com/images/company/blinkist/67a07b7122/?w=205&h=64,"Blinkist offers the best selection of nonfiction knowledge that fits into your life, for an immediate and personal learning experience.",Education,Growth Stage,SaaS,B2C,2012,101-250 Employees,Found,"Berlin, DE",blinkist.com,"['https://twitter.com/blinkist', 'http://www.linkedin.com/company/blinkist/', 'https://www.youtube.com/channel/UCBdnxbKcilNGg39dISm77oQ', 'https://www.facebook.com/blinkist']",Blinkist GmbH,"Neben den 10 Millionen Kostenlosnutzern, hat Blinkist weltweit derzeit eine halbe Millionen Abonnenten. 77% mehr als im Vorjahr (Stand: 2018). Auch die Umsatzerlöse konnten um 167% gesteigert werden.","{'nora voss': '', 'Holger Seim': 'Founder', 'Niklas Jansen': 'Founder'}"
SPACEGOATS,https://cdn.startbase.com/images/company/spacegoats/db0ab57beb/?w=205&h=64,Distribution of physical products on Amazon Marketplaces worldwide as software AND service to enable small and medium size companies to grow internationally in short time.,IT and Communications,Growth Stage,Retail / E-Commerce,B2B,2019,11-50 Employees,Found,"Stuttgart, DE",spacegoats.io,"['https://www.instagram.com/spacegoats_io/', 'https://www.linkedin.com/company/18888675/', 'https://www.youtube.com/channel/UCe5T55BDs9ZiPhZWSVswlMg/', 'https://www.facebook.com/spacegoats.io/']",SPACEGOATS GmbH,"Der Name SPACEGOATS bedeutet übersetzt Weltraumziegen - warum das? Ziegen sind die Astronauten der Tierwelt. Sie haben hohe Ziele, genau wie die Kunden von SPACEGOATS. Das Startup stellt ihnen dafür den nötigen SPACE (übersetzt: Raum) zur Verfügung. Somit bietet SPACEGOATS Unternehmen die Möglichkeit, über sich hinaus zu wachsen und sprichwörtlich abzuheben. 2019 im Herzen von Stuttgart gegründet, befindet sich SPACEGOATS auf der Überholspur im E-Commerce-Business. Im Februar diesen Jahres erhielten sie erst eine Millionen-Finanzierung des High-Tech Gründerfonds. Mehr dazu im Interview!","{'Manuel Eynollahiargaghy': 'CEO & Co-Founder', 'Andreas Menge': 'SVP Engineering', 'Anton Hermann': 'CTO & Co-Founder', 'Rona Eccard': 'Marketing & Communication'}"
DeepVA,https://cdn.startbase.com/images/company/the-chainless-deepva/1e066659a3/?w=205&h=64,"DeepVA is a European AI platform for deep visual understanding that uses state-of-the-art deep learning to gain important insights from all types of images, videos and live streams | Supported by Nvidia, Amazon and Deutsche Telekom",IT and Communications,Startup Stage,SaaS,B2B,2018,11-50 Employees,Found,"Freiburg im Breisgau, DE",deepva.com,"['https://www.linkedin.com/company/the-chainless/', 'https://www.facebook.com/DeepVideoAnalysis/']",The Chainless GmbH,"DeepVA is a European AI platform for deep visual understanding that uses state-of-the-art deep learning to support corporates by gaining important insights from all types of images, videos, and live streams. Its award-winning technology provides a high level of performance, reliability, and security | Supported by the European Union, Nvidia, Amazon and Deutsche Telekom","{'Christian Hirth': 'Co-Founder & CEO', 'Frederik Böhm': 'Co-Founder & CTO', 'Amir Saheb Fosoul': 'Full-Stack Developer', 'Janik Böhm': 'AI-Assistant', 'Alp Emek': 'AI-Expert', 'Esther Arroyo Garcia': 'Co-Founder & CMO', 'Borna Besic': 'AI-Expert'}"
