Company_name,URL,company_head,founded_year,location,model,contact
1000Mikes AG,http://www.1000mikes.com/,"Frank Felix Debatin, Peter Schweyer",2007,Hamburg,User generated Webradio,info@1000mikes.com
12designer,http://www.12designer.com,Lars Bamberg,2009,Berlin,Marktplatz für Kreatives,
12like GmbH,http://www.12like.com,"Kathrin Anselm, Dirk Wischnewski",2010,Berlin,Partnervermittlung,
15Talents.com GmbH & Co. KG,http://www.15talents.com/,"Marc Dr?ner, Henrike Fr?chling",2008,Berlin,Projektmartktplatz für Unternehmen und Studenten,team@15talents.com
21Publish Web Services GmbH,http://www.yourteam.de/,Stefan Wiskemann,2007,Hamburg,Mannschafts-Community,
2bStar,http://www.2bstar.de,Viola Werner,2008,Hamburg,"2bStar – Das Erlebnisportal für Beauty, Fashion und Lifestyle.
Das kostenlose Portal für Glamour-Queens und die, die es einmal werden wollen. Entdecken, Shoppen, Gewinnen.
Look Like A Star – mit 2BStar",info@2bstar.de
39 Mission GmbH,http://www.9flats.com/,Stephan Uhrenbacher,2011,Hamburg,Private Zimmervermittlung,info@9flats.com
3NRG GmbH,http://www.rohstoffversand.com/,"Robert Gnauck, Marcin Janas", 2013,Schmiedefeld bei Dresden,E-Commerce für Palettenware,
6 Wunderkinder GmbH,http://www.6wunderkinder.com,Christian Reber,2010,Berlin,Produktivitätssoftware,hello@6wunderkinder.com
7Moments UG,https://www.7moments.com/,Stefan Kellner,2011,Berlin,Foto-Sharing-Dienst,
7trends GmbH,http://www.7trends.com/,"Jochen Heemann, Sebastian Sieglerschmidt",2008,Berlin,Online-Shop für angesagte Bekleidung,mail@7trends.com
A better tomorrow GmbH,http://www.a-better-tomorrow.com,"Andre Gr?nhoff, Tim Lindemann",2006,D?sseldorf,Crowdsourcing,info@a-better-tomorrow.com
A&O Web GmbH,http://www.biggerfriends.com/,Oliver Feldmann,2008,Frankfurt am Main,Social Network für übergewichtige Menschen,contact@biggerfriends.com
Abacho AG,http://www.abacho.net/,"Ingo Endemann, Andreas Stietzel",1996,Neuss,"Die Abacho AG, betreibt und vermarktet Internet-Suchmaschinen und ?Chats. Seit 2005 betreibt das Unternehmen zudem My-Hammer.de",
AbeBooks Europe GmbH,http://www.abebooks.de/,"Ulrich Brand, Marcus Polke, Hannes Blum",1999,D?sseldorf,Online-Antiquariat,info@abebooks.de
abnehmen.net – Abnehmen im Netz GmbH,http://www.abnehmen.net,Peggy Reichelt,2008,Berlin,Diätplattform,kontakt@abnehmen.net
aboutbooks GmbH,http://www.lovelybooks.de/,"Sandra Dittert, Lothar Kleiner",2006,Stuttgart,"Online-Buch-Community f?r Leser, Autoren, Verlage und Buchhandlungen.",info@aboutbooks (dot) de
Absolventa GmbH,http://www.absolventa.de,Christoph Jost,2007,Berlin,Job-Plattform von Absolventen für Absolventen,kontakt@absolventa.de
Ad1Media AG,http://www.minidienste.de/,Umberto Bailoni,2007,Walzenhausen,Online-Plattform für private und haushaltsnahe Dienstleistungen,
Ad2.0 Internet GmbH,http://www.paulsmama.de/,Nina-Julia Kunath,2007,Hamburg,Mütter-Community,
Adconion GmbH (fr?her EuroClick),http://www.adconion.com/,Sven Bornemann,2004,"London, M?nchen",Online-Werbenetzwerk,info-de@adconion.com
Adhoc Mobile UG,http://www.adhoc.com/,Torsten Both,2011,Hamburg,Gutscheindienst,
adora Media GmbH,http://www.auskunft.de/,"Patrick Hünemohr, Robert Kaiser",2015,Köln,Analysetool und Webkatalog für Firmenwebseiten,kontakt@auskunft.de
AdScale GmbH,http://www.adscale.de/,"Klaus von Doemming, Stephan Kern",2007,M?nchen,Online-Marktplatz f?r Werbung,kontakt@adscale.de
AdShopping GmbH,http://www.adshopping.com/,"Ralph Werner, Jochen Meyer",2007,Berlin,Marktplatz für Online-Werbung,
Adspert Bidmanagement GmbH,http://www.adspert.net/de/,"Stephanie Richter, Marcel Pirlich",2010,Berlin,Vollautomatische Optimierung von Google AdWords,
Advanced Media AG,http://www.studi.net,Stefan A. Oberhansl,2007,Marburg,Studentennetzwerk,info@advanced-media.de
Advanced Media AG,http://www.youinside.de,Stefan A. Oberhansl,2002 (Gr?ndungsjahr der vormals sog. Inside-Serie),Marburg,"Event-, Szene- und Community-Netzwerk",
Advertory GmbH,http://de.advertory.com/,Anne-Aymone Ferreira,2010,Berlin,Webbbaukasten für Mittelständler,info@advertory.com
Affinitas GmbH,http://www.edarling.de/," Lukas Brosseder, David Khalil, Michael Schrezenmaier",2008,Berlin,Partnervermittlung,info@edarling.de
Agora Internet GmbH,http://www.lucrato.de/,"Philipp P?njer, Constantin Rosset",2010,Berlin,Preisvergleich für Drogerieartikel,info@lucrato.de
aha.de Internet GmbH,http://www.forher.de,"Jens Kunath, Dirk Stader",2008,Hamburg,Frauenplattform,info@aha.de
aha.de Internet GmbH,http://www.getestet.de,Jens Kunath,2009,Hamburg,Testplattform,
aka-aki GmbH,http://www.aka-aki.com,"Anja Kielmann, Gabriel Yoran",2007,Berlin,Social Network fürs Handy,office@aka-aki.com
All you need GmbH,http://www.allyouneed.eu/,"Christian Heitmeyer, Jens Drubel, Jens Rauschen",2011,Berlin,Online-Shop für Waren des täglichen Bedarfs,info@ayn24.de
allballers.com GmbH,http://www.allballers.com/,"Wilhelm Bielert, Holger Stockey",2007,Hagen,Basketball-Community,info@allballers.com
allesklar.com AG,http://www.allesklar.com/,"Georg Konjovic, Peter Bettin",1996,Siegburg,"Die allesklar.com AG betreibt unter anderem meinestadt.de, allesklar.de und Dating Cafe",
allesklar.com AG,http://www.meineleute.de/,"Manfred Stegger, Paul Dillenburg",2007,Siegburg,Social Network,info@meinestadt.de
allmyTea GmbH,http://www.allmytea.de/,Andreas Unger,2008,"Dortmund, M?nster",Online-Shop für selbstgemischte Teesorten,
allyve GmbH & Co. KG,http://www.allyve.com,"Thomas V?lcker, Karsten Marquardsen",2008,Hamburg,Software-as-a-Servce für die Social-Media-Integration einer Website,info@allyve.com
Alpstein Tourismus GmbH & Co. KG,http://www.outdooractive.com,Hartmut Wimmer und Felix Sch?dler,2008,Immenstadt,Outdoor-Plattform,hartmut.wimmer@alpstein.de
altegra GmbH,,Detlev Weise,2008,Berlin,Job-Plattform für ältere Arbeitnehmer,info@20jahre.com
Alternative Motion UG (haftungsbeschr?nkt),http://www.alternative-motion.de,"Immanuel Rebarczyk, Georg Grams",2009,Markkleeberg,Infoplattform rund um das Thema alternative Antriebe,
Alugha GmbH,https://alugha.com,"Bernd Korz, Gregor Greinert",2014,Mannheim,Software zur Erstellung multilingualer Videos,hello@alugha.com
Amazee AG,http://www.amazee.com,Gregory Gerhardt,2008,Z?rich,Social-Collaboration-Network,
AMBIENDO GmbH & Co. KG,,"Daniel Bleser, Thomas Kodura, Jan Pohlkamp",2013,Telgte,Online-Shop für exklusive Home & Living-Produkte,marketing@ambiendo.de
Andasa GmbH,http://www.andasa.de,"Karsten Schneider, Kerstin Schilling",2007,Leipzig,Online-Bonusprogramm,info@adicash.de
Andima Holding Ltd,http://www.dinner-auction.com,Dirk Freise,2008,Berlin,Auktionsplattform für Restaurants,info@dinner-auction.com
Anschlusstor Vermarktungs GmbH,http://anschlusstor.de/,"Thorsten Schr?ppe, Sebastian Schmidt",2007,M?nchen,Vermarktung von sportaffinen Websites,service@anschlusstor.de
antispameurope GmbH,http://www.antispameurope.de/,"Oliver Dehning, Daniel Hofmann",2007,Hannover,Anti-Spam,info@antispameurope.de
anwalt.de services AG,http://www.anwalt.de/,"Stefan Morschheuser, Deniz Aytekin, Steven Feurer",2004,N?rnberg,Rechtsanwaltsverzeichnis sowie Online- und Telefon-Rechtsberatung,info@anwalt.de
apomio GmbH,http://www.apomio.de/,"Sebastian Grehn, Chris Marsch, Matthias Storch",2007,Mannheim,Online-Preisvergleich für Medikamente,info@apomio.de
AppYourself GmbH,http://appyourself.net/de,"Benjamin Heisch, Markus Kaiser",2011,Frankfurt,Apps und mobile Webseiten für KMUs nach dem Baukastenprinzip (App-Baukasten),mail@appyourself.net
ArangoDB GmbH,https://www.arangodb.com,"Frank Celler, Claudius Weinberger",2014,Köln,pen-Source NoSQL Datenbank,info@arangodb.com
armedangels – Social Fashion Company GmbH,http://www.armed-angels.com/,"Anton Jurina, Martin H?feler",2007,K?ln,Modelabel. Hauptvertriebskanal,anton@armed-angels.com
aromicon GmbH,http://www.aromicon.com,Alf Jahn,2008,Halle/Saale,Virtuelle Weinverkostung,kontakt@aromicon.com
Art Industries Ltd.,http://www.lexposure.net,Oliver Bronner,2007,"London, Berlin",Mode-Community,info@lexposure.net
asgoodasnew electronics GmbH,http://www.wirkaufens.de/,"Daniel Boldin, Franz Menke",2008,Frankfurt an der Oder,Re-Commerce,
askStudents GmbH,http://www.askstudents.de,"Martin Pauly, Matthias Collin, Jens von der Lippen",2008,Wiesbaden,Vermittlungsplattform für Studentenjobs,info@askstudents.de
atDice GbR,http://mailgames24.com/,"Andreas Freiherr von Lepel, Anne-Kathrin J?ckel",2011,Hamburg,E-Mail-Spieledienst,
Attractive Media GmbH,http://www.juuuz.com,Alexander Khanbolooki,2009,M?nchen,Geschlossenes Social Network,
Auctionata AG,https://auctionata.de/,"Alexander Zacke, Georg Untersalmberger, Jan Thiel, Susanne Zacke, Christof Schminke",2012,"Berlin, New York","Online Auktionshaus mit Live-Auktionen für Kunst, Antiquitäten und Sammlerstücke",info@auctionata.com
Aupeo!,http://www.aupeo.com,"Armin Schmidt, Dirk P?schl",2008,Berlin,Social-Internetradio,
autoaid GmbH,http://www.autoaid.de,"Moritz Funk, Odeiko Trost",2007,Berlin,Bewertungsplattform für Auto-Werkstätten,info@autoaid.de
autohaus24 GmbH,http://www.autohaus24.de/,"Konstantin Sixt, Hans Hamer",2009,Berlin,Neuwagenvermittlung,info@autohaus24.de
Autonetzer GmbH,http://autonetzer.de/,"Sebastian Ballweg, Markus G??ler",2010,Stuttgart,Carsharingdienst,kontakt@autonetzer.de
Autoplenum GmbH,http://www.autoplenum.de/,Arnd Bennighoff,2006,M?nchen,Bewertungsplattform rund ums Auto,info@autoplenum.de
auxmoney GmbH,https://www.auxmoney.com,"Raffael Johnen, Philipp Kriependorf",2007,D?sseldorf,P2P Lending,info@auxmoney.com
Avocado Store GmbH,http://www.avocadostore.de/,"Mimi Sewalski, Till Junkermann",2010,Hamburg,"Mimi Sewalski, Till Junkermann",info@avocadostore.de
B & P Internetmanagement GmbH,http://www.10scouts.com/,Boris Bonczyk,2005,Berlin,Vermittlung von Dienstleistungen,
bab.la GmbH,http://bab.la/,"Andreas Schroeter, Thomas Schroeter, Patrick Uecker",2007,Hamburg,Sprachplattform mit Online-Wörterbuch,info@bab.la
Babelyou,http://www.babelyou.com,Andreas K?nig,2007,Leipzig,Social Network,
Back to Internet KG,http://www.befairy.com,Peter Quadt,2008,Rheine,Verlustschutz,info@befairy.com
BankingCheck GmbH,https://www.bankingcheck.de/,Daniel Bödger,,Berlin,Bewertungsportal,
barcoo,http://www.barcoo.de,Benjamin Thym,2008,Berlin,Barcodescanner,post@barcoo.de
basecom GmbH & Co. KG,http://www.stayblue.de,"Manuel Wortmann, Michael Stening",2002,Osnabr?ck,Lokale Online-Community,stoehr@basecom.eu
Beauty Trend GmbH,http://www.glossybox.de,"Arnt Jeschke, Christian Wei",2011,Berlin,Warenproben im Abo,kontakt@glossybox.de
Beckers David & Beckers Philipp GbbR,http://www.hemdwerk.de,"David Beckers, Philipp Beckers",2005,"Regensburg, Deutschland",Maßhemden-Shop,
BeDa GbR,http://www.Zeitkapsel.de,Sascha Behrens / Marc Dannenberg,2007,L?beck,Online-Zeitkapsel,info@zeitkapsel.de
Beko K?uferportal GmbH,http://www.kaeuferportal.de,"Robin Behlau, Mario Kohle",2008,Berlin,Marktplatz für den Mittelstand,info@kaeuferportal.de
Benjoo Media,http://www.mymobai.de,,2008,Dresden,Mobiler Restaurantführer,benjoo@benjoo.de
Bensch und Stetter GbR,http://www.mein-deutschbuch.de,Norbert Bensch,2008,Alsdorf,Online-Lernhilfe,info@mein-deutschbuch.de
BEP Consulting OHG,http://www.reittv.de,"Andr? Borutta, Alexander Etzel",2008,D?sseldorf,Pferde-Web-Sender,
Beprosoft B.V,http://yoofive.de/,Jean Noel Fameni,2010,Oisterwijk,Mini-Jobbörse,
Bergfreunde GmbH,http://www.bergfreunde.de,Martin Theben,2006,Kirchentellinsfurt,Online-Shop Kletter- und Bergsportausrüstung,info@bergfreunde.de
Bergfürst AG,http://de.bergfuerst.com/,"Guido Sandler, Dennis Bemmann",2011,Berlin,Berlin,service@bergfuerst.com
Besser Betreut GmbH,http://www.betreut.de/,Steffen Zoller,2007,Berlin,Vermittlung von familien- und haushaltsnahen Betreuungsleistungen,info@betreut.de
BestSearch Media GmbH,http://www.bestfewo.de,"Carsten Gersdorf, Marco Behrends",2009,Postdam,Suchmaschine für Ferienwohnungen und Ferienhäuser in Deutschland,info@bestfewo.de
